,SPX Ti,Date Tf,SPX Tf,Source,Tweet,Date Ti,Retweets,Favorites,SA,% Change SPX
11,2255.5,20170105 1211,2255.0,Twitter for Android,...time for Republicans &amp; Democrats to get together and come up with a healthcare plan that really works - much less expensive &amp; FAR BETTER!,20170105 1206,16580,78310,1,-0.022168033695411215
12,2259.25,20170105 1330,2259.25,Twitter for Android,The dishonest media likes saying that I am in Agreement with Julian Assange - wrong. I simply state what he states it is for the people....,20170105 1325,16324,61944,-1,0.0
13,2259.25,20170105 1350,2259.25,Twitter for Android,"to make up their own minds as to the truth. The media lies to make it look like I am against ""Intelligence"" when in fact I am a big fan!",20170105 1345,15333,67888,1,0.0
14,2263.0,20170106 0029,2263.0,Twitter for Android,"How did NBC get ""an exclusive look into the top secret report he (Obama) was presented?"" Who gave them this report and why? Politics!",20170106 0024,20594,68079,1,0.0
15,2263.0,20170106 0035,2263.0,Twitter for Android,The Democratic National Committee would not allow the FBI to study or see its computer info after it was supposedly hacked by Russia......,20170106 0030,18774,57162,0,0.0
16,2266.5,20170106 1124,2267.5,Twitter for Android,The dishonest media does not report that any money spent on building the Great Wall (for sake of speed) will be paid back by Mexico later!,20170106 1119,19129,65840,1,0.04412089124200309
17,2269.75,20170106 1144,2271.5,Twitter for Android,Hillary and the Dems were never going to beat the PASSION of my voters. They saw what was happening in the last two weeks before the......,20170106 1139,10555,51431,0,0.07710100231303006
18,2271.5,20170106 1150,2271.5,Twitter for Android,and knew they were in big trouble - which is why they cancelled their big fireworks at the last minute.THEY SAW A MOVEMENT LIKE NEVER BEFORE,20170106 1145,8277,41623,-1,0.0
19,2271.5,20170106 1210,2272.0,Twitter for Android,Hopefully all supporters and those who want to MAKE AMERICA GREAT AGAIN will go to D.C. on January 20th. It will be a GREAT SHOW!,20170106 1205,14381,66190,1,0.02201188641866608
20,2275.75,20170106 1239,2275.25,Twitter for Android,"Wow the ratings are in and Arnold Schwarzenegger got ""swamped"" (or destroyed) by comparison to the ratings machine DJT. So much for....",20170106 1234,9331,39031,1,-0.021970778864110734
21,2276.5,20170106 1247,2275.25,Twitter for Android,being a movie star-and that was season 1 compared to season 14. Now compare him to my season 1. But who cares he supported Kasich &amp; Hillary,20170106 1242,8809,41032,0,-0.05490885130683066
22,2276.5,20170106 1423,2275.5,Twitter for iPhone,Anna Wintour came to my office at Trump Tower to ask me to meet with the editors of Conde Nast &amp; Steven Newhouse a friend. Will go this AM.,20170106 1418,6471,34982,0,-0.04392708104546453
23,2272.75,20170108 1901,2272.5,Twitter for Android,Before I or anyone saw the classified and/or highly confidential hacking intelligence report it was leaked out to @NBCNews. So serious!,20170108 1856,20653,74117,-1,-0.010999890001099988
24,2268.5,20170109 1122,2269.75,Twitter for Android,Rupert Murdoch is a great guy who likes me much better as a very successful candidate than he ever did as a very successful developer!,20170109 1117,7303,37714,1,0.05510249063257659
25,2268.5,20170109 1132,2268.5,Twitter for Android,Meryl Streep one of the most over-rated actresses in Hollywood doesn't know me but attacked last night at the Golden Globes. She is a.....,20170109 1127,37502,123217,1,0.0
26,2268.25,20170109 1141,2267.5,Twitter for Android,"Hillary flunky who lost big. For the 100th time I never ""mocked"" a disabled reporter (would never do that) but simply showed him.......",20170109 1136,21354,84171,-1,-0.033065138322495316
27,2267.0,20170109 1148,2267.5,Twitter for Android,groveling when he totally changed a 16 year old story that he had written in order to make me look bad. Just more very dishonest media!,20170109 1143,16028,69118,-1,0.022055580061755623
28,2265.5,20170109 1419,2265.5,Twitter for Android,It's finally happening - Fiat Chrysler just announced plans to invest $1BILLION in Michigan and Ohio plants adding 2000 jobs. This after...,20170109 1414,23305,100861,0,0.0
29,2265.5,20170109 1421,2265.25,Twitter for Android,Ford said last week that it will expand in Michigan and U.S. instead of building a BILLION dollar plant in Mexico. Thank you Ford &amp; Fiat C!,20170109 1416,23379,109595,0,-0.011035091591260208
30,2261.75,20170109 2237,2261.75,Twitter for iPhone,An old picture with Nancy and Ronald Reagan. https://t.co/8kvQ1PzPAf,20170109 2232,24973,123554,1,0.0
31,2266.75,20170110 1531,2267.5,Twitter for iPhone,'U.S. Small-Business Optimism Index Surges by Most Since 1980'https://t.co/X22x1BttdG,20170110 1526,11159,42009,1,0.03308701885960075
32,2261.75,20170110 2235,2261.5,Twitter for iPhone,'Trump Helps Lift Small Business Confidence to 12-Yr. High'https://t.co/MhbABREhzt https://t.co/CWAvJ4fRdx,20170110 2230,10499,43435,-1,-0.011053387863380126
33,2262.25,20170111 0205,2262.5,Twitter for iPhone,'BuzzFeed Runs Unverifiable Trump-Russia Claims' #FakeNews https://t.co/d6daCFZHNh,20170111 0200,15013,45277,0,0.011050944855785168
34,2266.0,20170111 1218,2263.5,Twitter for Android,"Russia just said the unverified report paid for by political opponents is ""A COMPLETE AND TOTAL FABRICATION UTTER NONSENSE."" Very unfair!",20170111 1213,17574,66237,-1,-0.11032656663724624
35,2263.0,20170111 1236,2263.5,Twitter for Android,Russia has never tried to use leverage over me. I HAVE NOTHING TO DO WITH RUSSIA - NO DEALS NO LOANS NO NOTHING!,20170111 1231,23709,85813,0,0.02209456473707468
36,2260.25,20170111 1249,2259.0,Twitter for Android,"I win an election easily a great ""movement"" is verified and crooked opponents try to belittle our victory with FAKE NEWS. A sorry state!",20170111 1244,28585,115066,1,-0.05530361685654242
37,2258.75,20170111 1253,2259.75,Twitter for Android,"Intelligence agencies should never have allowed this fake news to ""leak"" into the public. One last shot at me.Are we living in Nazi Germany?",20170111 1248,31725,108284,-1,0.04427227448810182
38,2261.0,20170112 0406,2262.25,Twitter for Android,We had a great News Conference at Trump Tower today. A couple of FAKE NEWS organizations were there but the people truly get what's going on,20170112 0401,28013,117510,1,0.05528527200353826
39,2263.0,20170112 0429,2263.25,Twitter for Android,@zhu_amy3: @realDonaldTrump It's Morning in America again!!!  ☀️☀️☀️Thank you President-Elect Donald Trump!!! So proud of you!!!! THANKS!,20170112 0424,9407,52250,1,0.01104728236853734
40,2257.0,20170112 1228,2257.75,Twitter for Android,James Clapper called me yesterday to denounce the false and fictitious report that was illegally circulated. Made up phony facts.Too bad!,20170112 1223,17156,71695,-1,0.03322995126273815
41,2262.25,20170112 1355,2262.25,Twitter for Android,Thank you to Linda Bean of L.L.Bean for your great support and courage. People will support you even more now. Buy L.L.Bean. @LBPerfectMaine,20170112 1350,21477,92600,1,0.0
42,2262.0,20170112 1427,2262.75,Twitter for Android,.@CNN is in a total meltdown with their FAKE NEWS because their ratings are tanking since election and their credibility will soon be gone!,20170112 1422,35250,127608,-1,0.03315649867374005
43,2271.25,20170113 1054,2271.75,Twitter for Android,All of my Cabinet nominee are looking good and doing a great job. I want them to be themselves and express their own thoughts not mine!,20170113 1049,16644,80961,1,0.02201430930104568
44,2270.25,20170113 1110,2270.5,Twitter for Android,It now turns out that the phony allegations against me were put together by my political opponents and a failed spy afraid of being sued....,20170113 1105,17299,72507,-1,0.011012003083360864
45,2270.25,20170113 1116,2270.5,Twitter for Android,Totally made up facts by sleazebag political operatives both Democrats and Republicans - FAKE NEWS! Russia says nothing exists. Probably...,20170113 1111,12500,54584,-1,0.011012003083360864
46,2270.5,20170113 1121,2271.25,Twitter for Android,"released by ""Intelligence"" even knowing there is no proof and never will be. My people will have a full report on hacking within 90 days!",20170113 1116,12255,54075,1,0.03303237172428981
47,2271.5,20170113 1127,2271.5,Twitter for Android,What are Hillary Clinton's people complaining about with respect to the F.B.I. Based on the information they had she should never.....,20170113 1122,12744,58039,0,0.0
48,2271.5,20170113 1130,2271.75,Twitter for Android,have been allowed to run - guilty as hell. They were VERY nice to her. She lost because she campaigned in the wrong states - no enthusiasm!,20170113 1125,13436,67252,-1,0.01100594320933304
49,2272.0,20170113 1138,2272.5,Twitter for Android,"The ""Unaffordable"" Care Act will soon be history!",20170113 1133,30025,129591,0,0.02200704225352113
50,2268.75,20170115 1905,2268.5,Twitter for Android,For many years our country has been divided angry and untrusting. Many say it will never change the hatred is too deep. IT WILL CHANGE!!!!,20170115 1900,29527,127759,1,-0.011019283746556474
51,2265.0,20170117 1316,2265.25,Twitter for Android,The same people who did the phony election polls and were so wrong are now doing approval rating polls. They are rigged just like before.,20170117 1311,24425,106609,-1,0.011037527593818985
52,2260.5,20170117 1435,2260.0,Twitter for Android,With all of the jobs I am bringing back into the U.S. (even before taking office) with all of the new auto plants coming back into our.....,20170117 1430,11043,59063,1,-0.022119000221190004
53,2259.25,20170117 1441,2258.5,Twitter for Android,"country and with the massive cost reductions I have negotiated on military purchases and more I believe the people are seeing ""big stuff.""",20170117 1436,10419,56220,1,-0.033196857364169524
54,2259.75,20170117 1451,2259.25,Twitter for Android,"John Lewis said about my inauguration ""It will be the first one that I've missed."" WRONG (or lie)! He boycotted Bush 43 also because he...",20170117 1446,16240,66871,-1,-0.02212634140944795
55,2258.5,20170117 1457,2259.0,Twitter for Android,thought it would be hypocritical to attend Bush's swearing-in....he doesn't believe Bush is the true elected president. Sound familiar! WP,20170117 1452,13981,64105,1,0.022138587558113793
56,2262.0,20170117 2003,2261.75,Twitter Web Client,"RT @EricTrump: Thank you to @GolfDigest for this incredible feature! ""Golfer-in-Chief"" @RealDonaldTrump https://t.co/vpdY4jNbI4 https://t.c…",20170117 1958,9066,0,1,-0.011052166224580016
57,2264.25,20170118 1158,2261.75,Twitter for Android,Will be interviewed by @ainsleyearhardt on @foxandfriends - Enjoy!,20170118 1153,5657,37526,1,-0.11041183614883515
58,2262.75,20170118 1239,2262.75,Twitter for Android,Totally biased @NBCNews went out of its way to say that the big announcement from Ford G.M. Lockheed &amp; others that jobs are coming back...,20170118 1234,10178,48148,0,0.0
59,2262.75,20170118 1249,2262.5,Twitter for Android,to the U.S. but had nothing to do with TRUMP is more FAKE NEWS. Ask top CEO's of those companies for real facts. Came back because of me!,20170118 1244,11518,57775,1,-0.011048502927853277
60,2261.75,20170118 1305,2262.25,Twitter for Android,Bayer AG has pledged to add U.S. jobs and investments after meeting with President-elect Donald Trump the latest in a string... @WSJ,20170118 1300,11976,58143,1,0.02210677572676025
61,2262.25,20170118 1311,2262.25,Twitter for Android,No wonder the Today Show on biased @NBC is doing so badly compared to its glorious past. Little credibility!,20170118 1306,10617,57294,-1,0.0
62,2262.75,20170118 1408,2263.5,Twitter for Android,.@TheAlabamaBand was great last night in D.C. playing for 147 Diplomats and Ambassadors from countries around the world. Thanks Alabama!,20170118 1403,11370,65795,1,0.033145508783559825
63,2266.5,20170119 0159,2266.25,Twitter for iPhone,Great seeing @TheLeeGreenwood  and Kimberly at this evenings VP dinner! #GodBlessTheUSA https://t.co/SxVmaWvOFT,20170119 0154,10083,64810,1,-0.011030222810500772
64,2264.25,20170119 0406,2264.75,Twitter for iPhone,Thank you to our amazing Wounded Warriors for their service. It was an honor to be with them tonight in D.C.… https://t.co/Qj5cpfaykD,20170119 0401,16320,82131,1,0.02208236722976703
65,2262.25,20170119 1257,2262.75,Twitter for Android,It wasn't Donald Trump that divided this country this country has been divided for a long time! Stated today by Reverend Franklin Graham.,20170119 1252,27797,125166,-1,0.022101889711570337
66,2262.5,20170119 1305,2262.5,Twitter for Android,Getting ready to leave for Washington D.C. The journey begins and I will be working and fighting very hard to make it a great journey for..,20170119 1300,25639,150003,1,0.0
67,2262.75,20170119 1307,2261.75,Twitter for Android,the American people. I have no doubt that we will together MAKE AMERICA GREAT AGAIN!,20170119 1302,38818,159832,1,-0.04419401171141311
68,2260.5,20170120 1236,2261.75,Twitter for Android,It all begins today! I will see you at 11:00 A.M. for the swearing-in. THE MOVEMENT CONTINUES - THE WORK BEGINS!,20170120 1231,70523,268372,0,0.05529750055297501
69,2255.25,20170123 1143,2255.25,Twitter for Android,Busy week planned with a heavy focus on jobs and national security. Top executives coming in at 9:00 A.M. to talk manufacturing in America.,20170123 1138,26750,177839,1,0.0
70,2266.75,20170124 1116,2266.25,Twitter for Android,Will be meeting at 9:00 with top automobile executives concerning jobs in America. I want new plants to be built here for cars sold here!,20170124 1111,23743,154857,1,-0.02205801257306717
71,2278.5,20170125 0242,2278.75,Twitter for Android,Big day planned on NATIONAL SECURITY tomorrow. Among many other things we will build the wall!,20170125 0237,53949,193872,1,0.010972130787798991
72,2289.0,20170125 1215,2289.25,Twitter for Android,I will be asking for a major investigation into VOTER FRAUD including those registered to vote in two states those who are illegal and....,20170125 1210,26155,129979,-1,0.010921799912625601
73,2289.0,20170125 1218,2289.0,Twitter for Android,even those registered to vote who are dead (and many for a long time). Depending on results we will strengthen up voting procedures!,20170125 1213,18914,107227,1,0.0
74,2288.75,20170125 1222,2289.25,Twitter for Android,I will be making my Supreme Court pick on Thursday of next week.Thank you!,20170125 1217,21700,132199,0,0.02184598580010923
75,2297.25,20170125 2210,2297.5,Twitter for iPhone,I will be interviewed by @DavidMuir tonight at 10 o'clock on @ABC. Will be my first interview from the White House.… https://t.co/4zuOrRdcoc,20170125 2205,12454,75988,1,0.010882576994232234
76,2297.25,20170126 0253,2297.25,Twitter for Android,Interview with David Muir of @ABC News in 10 minutes. Enjoy!,20170126 0248,6517,53811,1,0.0
77,2293.0,20170126 1109,2293.5,Twitter for Android,Ungrateful TRAITOR Chelsea Manning who should never have been released from prison is now calling President Obama a weak leader. Terrible!,20170126 1104,28033,128497,-1,0.021805494984736155
78,2291.75,20170126 1356,2291.75,Twitter for Android,The U.S. has a 60 billion dollar trade deficit with Mexico. It has been a one-sided deal from the beginning of NAFTA with massive numbers...,20170126 1351,25881,106893,0,0.0
79,2288.75,20170127 1317,2288.5,Twitter for Android,Look forward to seeing final results of VoteStand. Gregg Phillips and crew say at least 3000000 votes were illegal. We must do better!,20170127 1312,17319,88640,-1,-0.010922992900054615
80,2270.25,20170130 1225,2270.25,Twitter for Android,protesters and the tears of Senator Schumer. Secretary Kelly said that all is going well with very few problems. MAKE AMERICA SAFE AGAIN!,20170130 1220,24007,133963,1,0.0
81,2270.25,20170130 1232,2268.0,Twitter for Android,There is nothing nice about searching for terrorists before they can enter our country. This was a big part of my campaign. Study the world!,20170130 1227,34992,173239,1,-0.09910802775024777
82,2268.0,20170130 1336,2267.25,Twitter for Android,"If the ban were announced with a one week notice the ""bad"" would rush into our country during that week. A lot of bad ""dudes"" out there!",20170130 1331,35502,171722,-1,-0.03306878306878307
83,2268.25,20170130 1348,2267.75,Twitter for Android,I have made my decision on who I will nominate for The United States Supreme Court. It will be announced live on Tuesday at 8:00 P.M. (W.H.),20170130 1343,24983,127061,1,-0.022043425548330213
84,2270.25,20170130 1428,2271.75,Twitter for iPhone,Where was all the outrage from Democrats and the opposition party (the media) when our jobs were fleeing our country?,20170130 1423,32607,163273,0,0.06607201850016517
85,2266.5,20170131 1126,2265.75,Twitter for Android,Nancy Pelosi and Fake Tears Chuck Schumer held a rally  at the steps of The Supreme Court and mic did not work (a mess)-just like Dem party!,20170131 1121,31063,152518,-1,-0.03309066843150232
86,2265.25,20170131 1132,2265.25,Twitter for Android,When will the Democrats give us our Attorney General and rest of Cabinet! They should be ashamed of themselves! No wonder D.C. doesn't work!,20170131 1127,38848,179221,1,0.0
87,2278.25,20170201 0350,2278.0,Twitter for Android,Hope you like my nomination of Judge Neil Gorsuch for the United States Supreme Court. He is a good and brilliant man respected by all.,20170201 0345,34238,250940,1,-0.01097333479644464
88,2273.25,20170201 1255,2273.0,Twitter for Android,Everybody is arguing whether or not it is a BAN. Call it what you want it is about keeping bad people (with bad intentions) out of country!,20170201 1250,60583,252382,-1,-0.010997470581766195
89,2266.25,20170202 0311,2268.0,Twitter for Android,Iran is rapidly taking over more and more of Iraq even after the U.S. has squandered three trillion dollars there. Obvious long ago!,20170202 0306,20915,93611,1,0.07722007722007722
90,2266.75,20170202 0400,2266.75,Twitter for Android,Do you believe it? The Obama Administration agreed to take thousands of illegal immigrants from Australia. Why? I will study this dumb deal!,20170202 0355,37373,152041,-1,0.0
91,2278.0,20170202 1118,2277.5,Twitter for Android,If U.C. Berkeley does not allow free speech and practices violence on innocent people with a different point of view - NO FEDERAL FUNDS?,20170202 1113,60266,213655,1,-0.021949078138718173
92,2277.5,20170202 1123,2277.0,Twitter for Android,Congratulations to Rex Tillerson on being sworn in as our new Secretary of State. He will be a star!,20170202 1118,15883,115116,1,-0.02195389681668496
93,2277.25,20170202 1130,2276.0,Twitter for Android,Attending Chief Ryan Owens' Dignified Transfer yesterday with my daughter Ivanka was my great honor. To a great and brave man - thank you!,20170202 1125,16711,123763,1,-0.05489076737292787
94,2276.0,20170202 1139,2275.75,Twitter for Android,Iran has been formally PUT ON NOTICE for firing a ballistic missile.Should have been thankful for the terrible deal the U.S. made with them!,20170202 1134,39629,121480,-1,-0.010984182776801405
95,2275.75,20170202 1144,2275.25,Twitter for Android,Iran was on its last legs and ready to collapse until the U.S. came along and gave it a life-line in the form of the Iran Deal: $150 billion,20170202 1139,24173,97481,1,-0.021970778864110734
96,2290.5,20170203 1129,2291.25,Twitter for Android,Yes Arnold Schwarzenegger did a really bad job as Governor of California and even worse on the Apprentice...but at least he tried hard!,20170203 1124,23451,117196,-1,0.03274394237066143
97,2291.5,20170203 1133,2291.25,Twitter for Android,"Iran is playing with fire - they don't appreciate how ""kind"" President Obama was to them. Not me!",20170203 1128,64118,173210,1,-0.010909884355225835
98,2290.75,20170203 1139,2290.75,Twitter for Android,Thank you to Prime Minister of Australia for telling the truth about our very civil conversation that FAKE NEWS media lied about. Very nice!,20170203 1134,32508,148912,1,0.0
99,2290.25,20170203 1146,2289.5,Twitter for Android,Meeting with biggest business leaders this morning. Good jobs are coming back to U.S. health care and tax bills are being crafted NOW!,20170203 1141,19308,125846,1,-0.0327475166466543
100,2290.25,20170203 1153,2290.25,Twitter for Android,Professional anarchists thugs and paid protesters are proving the point of the millions of people who voted to MAKE AMERICA GREAT AGAIN!,20170203 1148,42421,172191,1,0.0
101,2292.25,20170203 1256,2292.0,Twitter for Android,A new radical Islamic terrorist has just attacked in Louvre Museum in Paris. Tourists were locked down. France on edge again. GET SMART U.S.,20170203 1251,41566,163923,1,-0.010906314756243865
102,2288.5,20170205 2044,2288.25,Twitter for Android,Just cannot  believe a judge would put our country in such peril. If something happens blame him and court system. People pouring in. Bad!,20170205 2039,29114,138219,-1,-0.010924186148131964
103,2289.5,20170206 0341,2290.25,Twitter for Android,What an amazing comeback and win by the Patriots. Tom Brady Bob Kraft and Coach B are total winners. Wow!,20170206 0336,72934,267584,1,0.032758244158113126
104,2288.25,20170206 1206,2288.0,Twitter for Android,Any negative polls are fake news just like the CNN ABC NBC polls in the election. Sorry people want border security and extreme vetting.,20170206 1201,36259,161819,-1,-0.010925379656943079
105,2287.5,20170206 1212,2288.0,Twitter for Android,I call my own shots largely based on an accumulation of data and everyone knows it. Some FAKE NEWS media in order to marginalize lies!,20170206 1207,23963,125344,1,0.02185792349726776
106,2286.0,20170206 1637,2285.75,Twitter for Android,The failing @nytimes writes total fiction concerning me. They have gotten it wrong for two years and now are making up stories &amp; sources!,20170206 1632,19275,96642,-1,-0.010936132983377079
107,2291.25,20170207 1216,2290.5,Twitter for iPhone,I don't know Putin have no deals in Russia and the haters are going crazy - yet Obama can make a deal with Iran #1 in terror no problem!,20170207 1211,50474,188271,-1,-0.03273322422258593
108,2288.5,20170208 1208,2288.75,Twitter for Android,If the U.S. does not win this case as it so obviously should we can never have the security and safety to which we are entitled. Politics!,20170208 1203,22277,114959,-1,0.010924186148131964
109,2288.75,20170208 1309,2288.5,Twitter for Android,I will be speaking at 9:00 A.M. today to Police Chiefs and Sheriffs and will be discussing the horrible dangerous and wrong decision.......,20170208 1304,10807,74978,-1,-0.010922992900054615
110,2289.75,20170208 1528,2290.5,Twitter for iPhone,Thank you to our great Police Chiefs &amp; Sheriffs for your leadership &amp; service. You have a true friend in the… https://t.co/Lysnv8ZR1h,20170208 1523,16188,90091,1,0.03275466754012447
111,2290.75,20170208 1556,2290.25,Twitter for iPhone,My daughter Ivanka has been treated so unfairly by @Nordstrom. She is a great person -- always pushing me to do the right thing! Terrible!,20170208 1551,27189,142427,-1,-0.021826912583215105
112,2290.75,20170208 1559,2290.5,Twitter for iPhone,'16 Fake News Stories Reporters Have Run Since Trump Won' https://t.co/0dHld5kiVc,20170208 1554,19076,64126,-1,-0.010913456291607553
113,2304.25,20170209 1202,2304.0,Twitter for Android,Sen.Richard Blumenthal who never fought in Vietnam when he said for years he had (major lie)now misrepresents what Judge Gorsuch told him?,20170209 1157,19352,84674,1,-0.010849517196484757
114,2304.5,20170209 1324,2304.0,Twitter for Android,"Chris Cuomo in his interview with Sen. Blumenthal never asked him about his long-term lie about his brave ""service"" in Vietnam. FAKE NEWS!",20170209 1319,14894,73700,1,-0.021696680407897594
115,2304.75,20170209 1331,2304.0,Twitter for Android,Sen. McCain should not be talking about the success or failure of a mission to the media. Only emboldens the enemy! He's been losing so....,20170209 1326,15800,85781,-1,-0.03254149040026033
116,2304.0,20170209 1336,2304.25,Twitter for Android,...long he doesn't know how to win anymore just look at the mess our country is in - bogged down in conflict all over the place. Our hero..,20170209 1331,11801,67986,1,0.010850694444444444
117,2305.25,20170209 1357,2305.25,Twitter for Android,"..Ryan died on a winning mission ( according to General Mattis) not a ""failure."" Time for the U.S. to get smart and start winning again!",20170209 1352,14900,91185,1,0.0
118,2304.75,20170209 1603,2303.5,Twitter for iPhone,Join us live in the Oval Office for the swearing in of our new Attorney General @SenatorSessions!LIVE:… https://t.co/QeW6vjog4A,20170209 1558,10756,71140,1,-0.05423581733376722
119,2313.25,20170210 1320,2313.5,Twitter for Android,"LAWFARE: ""Remarkably in the entire opinion the panel did not bother even to cite this (the) statute."" A disgraceful decision!",20170210 1315,17556,89202,1,0.010807305738679347
120,2313.25,20170210 1340,2314.0,Twitter for Android,"The failing @nytimes does major FAKE NEWS China story saying ""Mr.Xi has not spoken to Mr. Trump since Nov.14."" We spoke at length yesterday!",20170210 1335,23732,106953,-1,0.03242191721603804
121,2325.5,20170213 1558,2325.0,Twitter for iPhone,Today I will meet with Canadian PM Trudeau and a group of leading business women to discuss women in the workforce. https://t.co/bFAHPRXHdP,20170213 1553,11763,74360,0,-0.021500752526338422
122,2333.5,20170214 1433,2333.0,Twitter for Android,The real story here is why are there so many illegal leaks coming out of Washington? Will these leaks be happening as I deal on N.Korea etc?,20170214 1428,26588,111318,1,-0.021427040925648167
123,2339.5,20170215 1145,2337.25,Twitter for Android,The fake news media is going crazy with their conspiracy theories and blind hatred. @MSNBC &amp; @CNN are unwatchable. @foxandfriends is great!,20170215 1140,25838,104434,-1,-0.09617439623851251
124,2338.75,20170215 1213,2338.5,Twitter for Android,This Russian connection non-sense is merely an attempt to cover-up the many mistakes made in Hillary Clinton's losing campaign.,20170215 1208,27541,117900,0,-0.010689470871191877
125,2338.75,20170215 1224,2339.5,Twitter for Android,Information is being illegally given to the failing @nytimes &amp; @washingtonpost by the intelligence community (NSA and FBI?).Just like Russia,20170215 1219,21143,80376,-1,0.032068412613575625
126,2340.0,20170215 1233,2339.75,Twitter for Android,"Thank you to Eli Lake of The Bloomberg View - ""The NSA &amp; FBI...should not interfere in our politics...and is"" Very serious situation for USA",20170215 1228,16346,77692,-1,-0.010683760683760684
127,2341.0,20170215 1247,2340.75,Twitter for Android,Crimea was TAKEN by Russia during the Obama Administration. Was Obama too soft on Russia?,20170215 1242,25351,100698,1,-0.010679196924391286
128,2340.25,20170215 1318,2341.0,Twitter for Android,"The real scandal here is that classified information is illegally given out by ""intelligence"" like candy. Very un-American!",20170215 1313,31903,128448,-1,0.03204785813481466
129,2349.25,20170215 1639,2351.0,Twitter for iPhone,Great listening session with CEO's of the Retail Industry Leaders Association this morning! https://t.co/sy6xJcWfcF,20170215 1634,10692,66081,1,0.07449185910396935
130,2347.75,20170215 1950,2348.0,Twitter for iPhone,Join me in Florida this Saturday at 5pm for a rally at the Orlando-Melbourne International Airport!Tickets:… https://t.co/OigfXFECPp,20170215 1945,17852,72138,0,0.010648493238206793
131,2342.0,20170216 1139,2340.75,Twitter for Android,Stock market hits new high with longest winning streak in decades. Great level of confidence and optimism - even before tax plan rollout!,20170216 1134,23643,127764,1,-0.0533731853116994
132,2342.25,20170216 1203,2342.25,Twitter for Android,Leaking and even illegal classified leaking has been a big problem in Washington for years. Failing @nytimes (and others) must apologize!,20170216 1158,17274,89827,-1,0.0
133,2342.5,20170216 1207,2341.25,Twitter for Android,The spotlight has finally been put on the low-life leakers! They will be caught!,20170216 1202,25247,126205,0,-0.05336179295624333
134,2341.75,20170216 1415,2341.5,Twitter for Android,"FAKE NEWS media which makes up stories and ""sources"" is far more effective than the discredited Democrats - but they are fading fast!",20170216 1410,19854,99214,1,-0.010675776662752214
135,2339.25,20170216 1444,2340.75,Twitter for Android,The Democrats had to come up with a story as to why they lost the election and so badly (306) so they made up a story - RUSSIA. Fake news!,20170216 1439,27003,121137,-1,0.06412311638345623
136,2341.25,20170217 1018,2342.5,Twitter for Android,Despite the long delays by the Democrats in finally approving Dr. Tom Price the repeal and replacement of ObamaCare is moving fast!,20170217 1013,17252,102948,1,0.05339028296849973
137,2339.5,20170217 1143,2340.0,Twitter for Android,Going to Charleston South Carolina in order to spend time with Boeing and talk jobs! Look forward to it.,20170217 1138,14334,99095,0,0.021372088053002777
138,2340.0,20170217 1148,2340.25,Twitter for Android,Thank you for all of the nice statements on the Press Conference yesterday. Rush Limbaugh said one of greatest ever. Fake media not happy!,20170217 1143,26347,150763,1,0.010683760683760684
