,Date,Close,Source,Tweet,First Date,Retweets,Favorites,SA
33,20170109 0410,2271.25,Twitter for Android,Dishonest media says Mexico won't be paying for the wall if they pay a little later so the wall can be built more quickly. Media is fake!,2017-01-09 04:05:31,19152,77977,-1
34,20170109 1122,2269.75,Twitter for Android,Rupert Murdoch is a great guy who likes me much better as a very successful candidate than he ever did as a very successful developer!,2017-01-09 11:17:40,7303,37714,1
35,20170109 1132,2268.5,Twitter for Android,Meryl Streep one of the most over-rated actresses in Hollywood doesn't know me but attacked last night at the Golden Globes. She is a.....,2017-01-09 11:27:50,37502,123217,1
36,20170109 1141,2267.5,Twitter for Android,"Hillary flunky who lost big. For the 100th time I never ""mocked"" a disabled reporter (would never do that) but simply showed him.......",2017-01-09 11:36:02,21354,84171,-1
37,20170109 1148,2267.5,Twitter for Android,groveling when he totally changed a 16 year old story that he had written in order to make me look bad. Just more very dishonest media!,2017-01-09 11:43:26,16028,69118,-1
38,20170109 1419,2265.5,Twitter for Android,It's finally happening - Fiat Chrysler just announced plans to invest $1BILLION in Michigan and Ohio plants adding 2000 jobs. This after...,2017-01-09 14:14:10,23305,100861,0
39,20170109 1421,2265.25,Twitter for Android,Ford said last week that it will expand in Michigan and U.S. instead of building a BILLION dollar plant in Mexico. Thank you Ford &amp; Fiat C!,2017-01-09 14:16:34,23379,109595,0
40,20170109 2237,2261.75,Twitter for iPhone,An old picture with Nancy and Ronald Reagan. https://t.co/8kvQ1PzPAf,2017-01-09 22:32:33,24973,123554,1
41,20170110 1531,2267.5,Twitter for iPhone,'U.S. Small-Business Optimism Index Surges by Most Since 1980'https://t.co/X22x1BttdG,2017-01-10 15:26:22,11159,42009,1
42,20170110 2235,2261.5,Twitter for iPhone,'Trump Helps Lift Small Business Confidence to 12-Yr. High'https://t.co/MhbABREhzt https://t.co/CWAvJ4fRdx,2017-01-10 22:30:53,10499,43435,-1
43,20170111 0205,2262.5,Twitter for iPhone,'BuzzFeed Runs Unverifiable Trump-Russia Claims' #FakeNews https://t.co/d6daCFZHNh,2017-01-11 02:00:11,15013,45277,0
44,20170111 1218,2263.5,Twitter for Android,"Russia just said the unverified report paid for by political opponents is ""A COMPLETE AND TOTAL FABRICATION UTTER NONSENSE."" Very unfair!",2017-01-11 12:13:40,17574,66237,-1
45,20170111 1236,2263.5,Twitter for Android,Russia has never tried to use leverage over me. I HAVE NOTHING TO DO WITH RUSSIA - NO DEALS NO LOANS NO NOTHING!,2017-01-11 12:31:31,23709,85813,0
46,20170111 1249,2259.0,Twitter for Android,"I win an election easily a great ""movement"" is verified and crooked opponents try to belittle our victory with FAKE NEWS. A sorry state!",2017-01-11 12:44:05,28585,115066,1
47,20170111 1253,2259.75,Twitter for Android,"Intelligence agencies should never have allowed this fake news to ""leak"" into the public. One last shot at me.Are we living in Nazi Germany?",2017-01-11 12:48:52,31725,108284,-1
48,20170112 0406,2262.25,Twitter for Android,We had a great News Conference at Trump Tower today. A couple of FAKE NEWS organizations were there but the people truly get what's going on,2017-01-12 04:01:38,28013,117510,1
49,20170112 0429,2263.25,Twitter for Android,@zhu_amy3: @realDonaldTrump It's Morning in America again!!!  ☀️☀️☀️Thank you President-Elect Donald Trump!!! So proud of you!!!! THANKS!,2017-01-12 04:24:52,9407,52250,1
50,20170112 1228,2257.75,Twitter for Android,James Clapper called me yesterday to denounce the false and fictitious report that was illegally circulated. Made up phony facts.Too bad!,2017-01-12 12:23:45,17156,71695,-1
51,20170112 1355,2262.25,Twitter for Android,Thank you to Linda Bean of L.L.Bean for your great support and courage. People will support you even more now. Buy L.L.Bean. @LBPerfectMaine,2017-01-12 13:50:13,21477,92600,1
52,20170112 1427,2262.75,Twitter for Android,.@CNN is in a total meltdown with their FAKE NEWS because their ratings are tanking since election and their credibility will soon be gone!,2017-01-12 14:22:21,35250,127608,-1
53,20170113 1054,2271.75,Twitter for Android,All of my Cabinet nominee are looking good and doing a great job. I want them to be themselves and express their own thoughts not mine!,2017-01-13 10:49:34,16644,80961,1
54,20170113 1110,2270.5,Twitter for Android,It now turns out that the phony allegations against me were put together by my political opponents and a failed spy afraid of being sued....,2017-01-13 11:05:55,17299,72507,-1
55,20170113 1116,2270.5,Twitter for Android,Totally made up facts by sleazebag political operatives both Democrats and Republicans - FAKE NEWS! Russia says nothing exists. Probably...,2017-01-13 11:11:13,12500,54584,-1
56,20170113 1121,2271.25,Twitter for Android,"released by ""Intelligence"" even knowing there is no proof and never will be. My people will have a full report on hacking within 90 days!",2017-01-13 11:16:54,12255,54075,1
57,20170113 1127,2271.5,Twitter for Android,What are Hillary Clinton's people complaining about with respect to the F.B.I. Based on the information they had she should never.....,2017-01-13 11:22:38,12744,58039,0
58,20170113 1130,2271.75,Twitter for Android,have been allowed to run - guilty as hell. They were VERY nice to her. She lost because she campaigned in the wrong states - no enthusiasm!,2017-01-13 11:25:54,13436,67252,-1
59,20170113 1138,2272.5,Twitter for Android,"The ""Unaffordable"" Care Act will soon be history!",2017-01-13 11:33:24,30025,129591,0
60,20170115 1905,2268.5,Twitter for Android,For many years our country has been divided angry and untrusting. Many say it will never change the hatred is too deep. IT WILL CHANGE!!!!,2017-01-15 19:00:21,29527,127759,1
61,20170115 2018,2268.5,Twitter for Android,"about that...Those Intelligence chiefs made a mistake here &amp; when people make mistakes they should APOLOGIZE."" Media should also apologize",2017-01-15 20:13:00,15313,70395,0
62,20170115 2251,2268.25,Twitter for Android,.@NBCNews is bad but Saturday Night Live is the worst of NBC. Not funny cast is terrible always a complete hit job. Really bad television!,2017-01-15 22:46:33,18845,84723,-1
63,20170116 0021,2267.25,Twitter for Android,".@FoxNews ""Outgoing CIA Chief John Brennan blasts Pres-Elect Trump on Russia threat. Does not fully understand."" Oh really couldn't do...",2017-01-16 00:16:20,11443,45324,1
64,20170117 1316,2265.25,Twitter for Android,The same people who did the phony election polls and were so wrong are now doing approval rating polls. They are rigged just like before.,2017-01-17 13:11:56,24425,106609,-1
65,20170117 1435,2260.0,Twitter for Android,With all of the jobs I am bringing back into the U.S. (even before taking office) with all of the new auto plants coming back into our.....,2017-01-17 14:30:19,11043,59063,1
66,20170117 1441,2258.5,Twitter for Android,"country and with the massive cost reductions I have negotiated on military purchases and more I believe the people are seeing ""big stuff.""",2017-01-17 14:36:26,10419,56220,1
67,20170117 1451,2259.25,Twitter for Android,"John Lewis said about my inauguration ""It will be the first one that I've missed."" WRONG (or lie)! He boycotted Bush 43 also because he...",2017-01-17 14:46:27,16240,66871,-1
68,20170117 1457,2259.0,Twitter for Android,thought it would be hypocritical to attend Bush's swearing-in....he doesn't believe Bush is the true elected president. Sound familiar! WP,2017-01-17 14:52:39,13981,64105,1
69,20170117 1800,2261.25,Twitter Web Client,Thank you to General Motors and Walmart for starting the big jobs push back into the U.S.!,2017-01-17 17:55:38,21503,103996,1
70,20170117 2003,2261.75,Twitter Web Client,"RT @EricTrump: Thank you to @GolfDigest for this incredible feature! ""Golfer-in-Chief"" @RealDonaldTrump https://t.co/vpdY4jNbI4 https://t.c…",2017-01-17 19:58:10,9066,0,1
71,20170118 1158,2261.75,Twitter for Android,Will be interviewed by @ainsleyearhardt on @foxandfriends - Enjoy!,2017-01-18 11:53:24,5657,37526,1
72,20170118 1239,2262.75,Twitter for Android,Totally biased @NBCNews went out of its way to say that the big announcement from Ford G.M. Lockheed &amp; others that jobs are coming back...,2017-01-18 12:34:09,10178,48148,0
73,20170118 1249,2262.5,Twitter for Android,to the U.S. but had nothing to do with TRUMP is more FAKE NEWS. Ask top CEO's of those companies for real facts. Came back because of me!,2017-01-18 12:44:03,11518,57775,1
74,20170118 1305,2262.25,Twitter for Android,Bayer AG has pledged to add U.S. jobs and investments after meeting with President-elect Donald Trump the latest in a string... @WSJ,2017-01-18 13:00:51,11976,58143,1
75,20170118 1311,2262.25,Twitter for Android,No wonder the Today Show on biased @NBC is doing so badly compared to its glorious past. Little credibility!,2017-01-18 13:06:58,10617,57294,-1
76,20170118 1408,2263.5,Twitter for Android,.@TheAlabamaBand was great last night in D.C. playing for 147 Diplomats and Ambassadors from countries around the world. Thanks Alabama!,2017-01-18 14:03:53,11370,65795,1
77,20170119 0159,2266.25,Twitter for iPhone,Great seeing @TheLeeGreenwood  and Kimberly at this evenings VP dinner! #GodBlessTheUSA https://t.co/SxVmaWvOFT,2017-01-19 01:54:13,10083,64810,1
78,20170119 0406,2264.75,Twitter for iPhone,Thank you to our amazing Wounded Warriors for their service. It was an honor to be with them tonight in D.C.… https://t.co/Qj5cpfaykD,2017-01-19 04:01:40,16320,82131,1
79,20170119 1257,2262.75,Twitter for Android,It wasn't Donald Trump that divided this country this country has been divided for a long time! Stated today by Reverend Franklin Graham.,2017-01-19 12:52:22,27797,125166,-1
80,20170119 1305,2262.5,Twitter for Android,Getting ready to leave for Washington D.C. The journey begins and I will be working and fighting very hard to make it a great journey for..,2017-01-19 13:00:13,25639,150003,1
81,20170119 1307,2261.75,Twitter for Android,the American people. I have no doubt that we will together MAKE AMERICA GREAT AGAIN!,2017-01-19 13:02:18,38818,159832,1
82,20170120 0429,2265.0,Twitter for iPhone,Thank you for a wonderful evening in Washington D.C. #Inauguration https://t.co/a6xpFQTHj5,2017-01-20 04:24:33,20770,112829,1
83,20170120 1236,2261.75,Twitter for Android,It all begins today! I will see you at 11:00 A.M. for the swearing-in. THE MOVEMENT CONTINUES - THE WORK BEGINS!,2017-01-20 12:31:53,70523,268372,0
84,20170123 1143,2255.25,Twitter for Android,Busy week planned with a heavy focus on jobs and national security. Top executives coming in at 9:00 A.M. to talk manufacturing in America.,2017-01-23 11:38:16,26750,177839,1
85,20170124 1116,2266.25,Twitter for Android,Will be meeting at 9:00 with top automobile executives concerning jobs in America. I want new plants to be built here for cars sold here!,2017-01-24 11:11:47,23743,154857,1
86,20170125 0051,2276.75,Twitter for iPhone,Great meeting with Ford CEO Mark Fields and General Motors CEO Mary Barra at the @WhiteHouse today. https://t.co/T0eIgO6LP8,2017-01-25 00:46:57,18697,101012,1
87,20170125 0221,2278.0,Twitter for Android,Congratulations to @FoxNews for being number one in inauguration ratings. They were many times higher than FAKE NEWS @CNN - public is smart!,2017-01-25 02:16:19,32107,162721,1
88,20170125 0242,2278.75,Twitter for Android,Big day planned on NATIONAL SECURITY tomorrow. Among many other things we will build the wall!,2017-01-25 02:37:48,53949,193872,1
89,20170125 1215,2289.25,Twitter for Android,I will be asking for a major investigation into VOTER FRAUD including those registered to vote in two states those who are illegal and....,2017-01-25 12:10:01,26155,129979,-1
90,20170125 1218,2289.0,Twitter for Android,even those registered to vote who are dead (and many for a long time). Depending on results we will strengthen up voting procedures!,2017-01-25 12:13:46,18914,107227,1
91,20170125 1222,2289.25,Twitter for Android,I will be making my Supreme Court pick on Thursday of next week.Thank you!,2017-01-25 12:17:01,21700,132199,0
92,20170125 2210,2297.5,Twitter for iPhone,I will be interviewed by @DavidMuir tonight at 10 o'clock on @ABC. Will be my first interview from the White House.… https://t.co/4zuOrRdcoc,2017-01-25 22:05:59,12454,75988,1
93,20170126 0219,2297.75,Twitter for iPhone,As your President I have no higher duty than to protect the lives of the American people. https://t.co/o7YNUNwb8f,2017-01-26 02:14:56,29219,152335,-1
94,20170126 0250,2297.5,Twitter for Android,@romoabcnews: .@DavidMuir first @POTUS interview since taking office.  Tonight on @ABCWorldNews @ABC2020 tonight. https://t.co/I4Vz1mRdBK,2017-01-26 02:45:32,6455,44924,1
95,20170126 0253,2297.25,Twitter for Android,Interview with David Muir of @ABC News in 10 minutes. Enjoy!,2017-01-26 02:48:25,6517,53811,1
96,20170126 1109,2293.5,Twitter for Android,Ungrateful TRAITOR Chelsea Manning who should never have been released from prison is now calling President Obama a weak leader. Terrible!,2017-01-26 11:04:24,28033,128497,-1
97,20170126 1356,2291.75,Twitter for Android,The U.S. has a 60 billion dollar trade deficit with Mexico. It has been a one-sided deal from the beginning of NAFTA with massive numbers...,2017-01-26 13:51:46,25881,106893,0
98,20170126 1400,2292.75,Twitter for Android,of jobs and companies lost. If Mexico is unwilling to pay for the badly needed wall then it would be better to cancel the upcoming meeting.,2017-01-26 13:55:03,28106,115631,-1
99,20170126 1920,2292.0,Twitter for iPhone,Spoke at the Congressional @GOP Retreat in Philadelphia PA. this afternoon w/ @VP @SenMajLeader @SpeakerRyan. Th… https://t.co/s4sTbSyBSR,2017-01-26 19:15:44,9,9,0
100,20170127 1317,2288.5,Twitter for Android,Look forward to seeing final results of VoteStand. Gregg Phillips and crew say at least 3000000 votes were illegal. We must do better!,2017-01-27 13:12:52,17319,88640,-1
101,20170127 1632,2288.5,Twitter for iPhone,The #MarchForLife is so important. To all of you marching --- you have my full support!,2017-01-27 16:27:02,45457,184954,1
102,20170130 1221,2270.25,Twitter for Android,Only 109 people out of 325000 were detained and held for questioning. Big problems at airports were caused by Delta computer outage.....,2017-01-30 12:16:30,30965,130943,0
103,20170130 1225,2270.25,Twitter for Android,protesters and the tears of Senator Schumer. Secretary Kelly said that all is going well with very few problems. MAKE AMERICA SAFE AGAIN!,2017-01-30 12:20:49,24007,133963,1
104,20170130 1232,2268.0,Twitter for Android,There is nothing nice about searching for terrorists before they can enter our country. This was a big part of my campaign. Study the world!,2017-01-30 12:27:05,34992,173239,1
105,20170130 1336,2267.25,Twitter for Android,"If the ban were announced with a one week notice the ""bad"" would rush into our country during that week. A lot of bad ""dudes"" out there!",2017-01-30 13:31:00,35502,171722,-1
106,20170130 1348,2267.75,Twitter for Android,I have made my decision on who I will nominate for The United States Supreme Court. It will be announced live on Tuesday at 8:00 P.M. (W.H.),2017-01-30 13:43:25,24983,127061,1
107,20170130 1428,2271.75,Twitter for iPhone,Where was all the outrage from Democrats and the opposition party (the media) when our jobs were fleeing our country?,2017-01-30 14:23:49,32607,163273,0
108,20170131 1126,2265.75,Twitter for Android,Nancy Pelosi and Fake Tears Chuck Schumer held a rally  at the steps of The Supreme Court and mic did not work (a mess)-just like Dem party!,2017-01-31 11:21:52,31063,152518,-1
109,20170131 1132,2265.25,Twitter for Android,When will the Democrats give us our Attorney General and rest of Cabinet! They should be ashamed of themselves! No wonder D.C. doesn't work!,2017-01-31 11:27:02,38848,179221,1
110,20170201 0350,2278.0,Twitter for Android,Hope you like my nomination of Judge Neil Gorsuch for the United States Supreme Court. He is a good and brilliant man respected by all.,2017-02-01 03:45:26,34238,250940,1
111,20170201 1255,2273.0,Twitter for Android,Everybody is arguing whether or not it is a BAN. Call it what you want it is about keeping bad people (with bad intentions) out of country!,2017-02-01 12:50:16,60583,252382,-1
112,20170202 0311,2268.0,Twitter for Android,Iran is rapidly taking over more and more of Iraq even after the U.S. has squandered three trillion dollars there. Obvious long ago!,2017-02-02 03:06:14,20915,93611,1
113,20170202 0400,2266.75,Twitter for Android,Do you believe it? The Obama Administration agreed to take thousands of illegal immigrants from Australia. Why? I will study this dumb deal!,2017-02-02 03:55:49,37373,152041,-1
114,20170202 1118,2277.5,Twitter for Android,If U.C. Berkeley does not allow free speech and practices violence on innocent people with a different point of view - NO FEDERAL FUNDS?,2017-02-02 11:13:13,60266,213655,1
115,20170202 1123,2277.0,Twitter for Android,Congratulations to Rex Tillerson on being sworn in as our new Secretary of State. He will be a star!,2017-02-02 11:18:21,15883,115116,1
116,20170202 1130,2276.0,Twitter for Android,Attending Chief Ryan Owens' Dignified Transfer yesterday with my daughter Ivanka was my great honor. To a great and brave man - thank you!,2017-02-02 11:25:40,16711,123763,1
117,20170202 1139,2275.75,Twitter for Android,Iran has been formally PUT ON NOTICE for firing a ballistic missile.Should have been thankful for the terrible deal the U.S. made with them!,2017-02-02 11:34:36,39629,121480,-1
118,20170202 1144,2275.25,Twitter for Android,Iran was on its last legs and ready to collapse until the U.S. came along and gave it a life-line in the form of the Iran Deal: $150 billion,2017-02-02 11:39:49,24173,97481,1
119,20170203 1129,2291.25,Twitter for Android,Yes Arnold Schwarzenegger did a really bad job as Governor of California and even worse on the Apprentice...but at least he tried hard!,2017-02-03 11:24:51,23451,117196,-1
120,20170203 1133,2291.25,Twitter for Android,"Iran is playing with fire - they don't appreciate how ""kind"" President Obama was to them. Not me!",2017-02-03 11:28:02,64118,173210,1
121,20170203 1139,2290.75,Twitter for Android,Thank you to Prime Minister of Australia for telling the truth about our very civil conversation that FAKE NEWS media lied about. Very nice!,2017-02-03 11:34:32,32508,148912,1
122,20170203 1146,2289.5,Twitter for Android,Meeting with biggest business leaders this morning. Good jobs are coming back to U.S. health care and tax bills are being crafted NOW!,2017-02-03 11:41:11,19308,125846,1
123,20170203 1153,2290.25,Twitter for Android,Professional anarchists thugs and paid protesters are proving the point of the millions of people who voted to MAKE AMERICA GREAT AGAIN!,2017-02-03 11:48:16,42421,172191,1
124,20170203 1256,2292.0,Twitter for Android,A new radical Islamic terrorist has just attacked in Louvre Museum in Paris. Tourists were locked down. France on edge again. GET SMART U.S.,2017-02-03 12:51:58,41566,163923,1
125,20170205 2044,2288.25,Twitter for Android,Just cannot  believe a judge would put our country in such peril. If something happens blame him and court system. People pouring in. Bad!,2017-02-05 20:39:05,29114,138219,-1
126,20170206 0341,2290.25,Twitter for Android,What an amazing comeback and win by the Patriots. Tom Brady Bob Kraft and Coach B are total winners. Wow!,2017-02-06 03:36:54,72934,267584,1
127,20170206 1206,2288.0,Twitter for Android,Any negative polls are fake news just like the CNN ABC NBC polls in the election. Sorry people want border security and extreme vetting.,2017-02-06 12:01:53,36259,161819,-1
128,20170206 1212,2288.0,Twitter for Android,I call my own shots largely based on an accumulation of data and everyone knows it. Some FAKE NEWS media in order to marginalize lies!,2017-02-06 12:07:55,23963,125344,1
129,20170206 1632,2286.0,Twitter for Android,Will be interviewed on @oreillyfactor tonight at 8:00 P.M.,2017-02-06 16:27:45,6,18,0
130,20170206 1637,2285.75,Twitter for Android,The failing @nytimes writes total fiction concerning me. They have gotten it wrong for two years and now are making up stories &amp; sources!,2017-02-06 16:32:24,19275,96642,-1
131,20170207 0254,2286.5,Twitter for Android,The threat from radical Islamic terrorism is very real just look at what is happening in Europe and the Middle-East. Courts must act fast!,2017-02-07 02:49:28,32538,145673,1
132,20170207 1216,2290.5,Twitter for iPhone,I don't know Putin have no deals in Russia and the haters are going crazy - yet Obama can make a deal with Iran #1 in terror no problem!,2017-02-07 12:11:29,50474,188271,-1
133,20170207 1630,2287.5,Twitter for iPhone,An honor having the National Sheriffs' Assoc. join me at the @WhiteHouse. Incredible men &amp; women who protect &amp; serv… https://t.co/1LkhbCNh8L,2017-02-07 16:25:13,18399,108216,1
134,20170208 0109,2287.75,Twitter for Android,It is a disgrace that my full Cabinet is still not in place the longest such delay in the history of our country. Obstruction by Democrats!,2017-02-08 01:04:00,36410,157210,1
135,20170208 1208,2288.75,Twitter for Android,If the U.S. does not win this case as it so obviously should we can never have the security and safety to which we are entitled. Politics!,2017-02-08 12:03:18,22277,114959,-1
136,20170208 1309,2288.5,Twitter for Android,I will be speaking at 9:00 A.M. today to Police Chiefs and Sheriffs and will be discussing the horrible dangerous and wrong decision.......,2017-02-08 13:04:47,10807,74978,-1
137,20170208 1528,2290.5,Twitter for iPhone,Thank you to our great Police Chiefs &amp; Sheriffs for your leadership &amp; service. You have a true friend in the… https://t.co/Lysnv8ZR1h,2017-02-08 15:23:29,16188,90091,1
138,20170208 1556,2290.25,Twitter for iPhone,My daughter Ivanka has been treated so unfairly by @Nordstrom. She is a great person -- always pushing me to do the right thing! Terrible!,2017-02-08 15:51:01,27189,142427,-1
139,20170208 1559,2290.5,Twitter for iPhone,'16 Fake News Stories Reporters Have Run Since Trump Won' https://t.co/0dHld5kiVc,2017-02-08 15:54:01,19076,64126,-1
140,20170209 0110,2290.0,Twitter for iPhone,Congratulations to our new Attorney General @SenatorSessions! https://t.co/e0buP1K83z,2017-02-09 01:05:53,32534,163235,1
141,20170209 1202,2304.0,Twitter for Android,Sen.Richard Blumenthal who never fought in Vietnam when he said for years he had (major lie)now misrepresents what Judge Gorsuch told him?,2017-02-09 11:57:59,19352,84674,1
142,20170209 1324,2304.0,Twitter for Android,"Chris Cuomo in his interview with Sen. Blumenthal never asked him about his long-term lie about his brave ""service"" in Vietnam. FAKE NEWS!",2017-02-09 13:19:08,14894,73700,1
143,20170209 1331,2304.0,Twitter for Android,Sen. McCain should not be talking about the success or failure of a mission to the media. Only emboldens the enemy! He's been losing so....,2017-02-09 13:26:07,15800,85781,-1
144,20170209 1336,2304.25,Twitter for Android,...long he doesn't know how to win anymore just look at the mess our country is in - bogged down in conflict all over the place. Our hero..,2017-02-09 13:31:59,11801,67986,1
145,20170209 1357,2305.25,Twitter for Android,"..Ryan died on a winning mission ( according to General Mattis) not a ""failure."" Time for the U.S. to get smart and start winning again!",2017-02-09 13:52:31,14900,91185,1
146,20170209 1603,2303.5,Twitter for iPhone,Join us live in the Oval Office for the swearing in of our new Attorney General @SenatorSessions!LIVE:… https://t.co/QeW6vjog4A,2017-02-09 15:58:01,10756,71140,1
147,20170209 2340,2306.5,Twitter for Android,SEE YOU IN COURT THE SECURITY OF OUR NATION IS AT STAKE!,2017-02-09 23:35:49,67448,237614,0
148,20170210 1320,2313.5,Twitter for Android,"LAWFARE: ""Remarkably in the entire opinion the panel did not bother even to cite this (the) statute."" A disgraceful decision!",2017-02-10 13:15:27,17556,89202,1
149,20170210 1340,2314.0,Twitter for Android,"The failing @nytimes does major FAKE NEWS China story saying ""Mr.Xi has not spoken to Mr. Trump since Nov.14."" We spoke at length yesterday!",2017-02-10 13:35:50,23732,106953,-1
